Ticker,"Company Name","Annual Div","Div Yield"
FTAI,"Fortress Transprtn and Infr Investrs LLC","1.32","7.7"
FCPT,"Four Corners Property Trust","1.15","4.0"
BEN,"Franklin Resources","1.04","3.0"
RESI,"Front Yard Residential Corp","0.60","6.2"
FSK,"FS KKR Capital ","0.76","12.2"
FULT,"Fulton Financial Corp","0.52","3.2"
GCAP,"Gain Capital Holdings","0.24","3.7"
GLPI,"Gaming and Leisure Properties","2.72","7.0"
GPS,Gap,"0.97","3.6"
GRMN,Garmin,"2.28","2.6"
GARS,"Garrison Capital","0.92","12.9"
GLOG,"GasLog Ltd","0.60","3.6"
GLOP,"GasLog Partners LP","2.20","9.8"
GD,"General Dynamics","4.08","2.4"
GIS,"General Mills","1.96","3.9"
GM,"General Motors Company","1.52","3.9"
GEL,"Genesis Energy","2.20","9.5"
GPC,"Genuine Parts Company","3.05","2.7"
GEO,"GEO Group","1.92","9.8"
GTY,"Getty Realty","1.40","4.4"
GILD,"Gilead Sciences","2.52","3.8"
GBCI,"Glacier Bancorp","1.04","2.5"
GBLI,"Global Indemnity Ltd","1.00","3.2"
GMRE,"Global Medical REIT","0.80","8.2"
GNL,"Global Net Lease","2.13","11.2"
GLP,"Global Partners LP","2.00","10.3"
GWRS,"Global Water Resources","0.29","3.0"
GLNG,"Golar LNG Limited ","0.60","2.9"
GMLP,"Golar LNG Partners ","1.62","13.2"
GOGL,"Golden Ocean Group Ltd","0.60","11.7"
GSBD,"Goldman Sachs BDC","1.80","8.6"
GBDC,"Golub Capital BDC","1.28","7.1"
GT,"Goodyear Tire & Rubber Co","0.64","3.3"
GPMT,"Granite Point Mortgage Trust","1.68","8.9"
"GRP.U","Granite Real Estate Investment Trust","2.08","4.4"
AJX,"Great Ajax ","1.28","9.3"
GECC,"Great Elm Capital ","1.00","12.0"
GPP,"Green Plains Partners LP","1.90","11.9"
GEF,Greif,"1.76","4.3"
GES,Guess?,"0.90","4.8"
HEES,"H&E Equipment Services","1.10","4.1"
HNRG,"Hallador Energy Co","0.16","3.2"
HWC,"Hancock Whitney Corp","1.08","2.5"
HBI,Hanesbrands,"0.60","3.3"
HAFC,"Hanmi Financial Corp","0.96","4.3"
HASI,"Hannon Armstrong Sustnbl Infrstr Cap","1.34","5.3"
HOG,Harley-Davidson,"1.50","3.8"
HIG,"Hartford Financial Services Group","1.20","2.4"
HAS,Hasbro,"2.72","3.2"
HVT,"Haverty Furniture Companies","0.72","3.0"
HE,"Hawaiian Electric Industries","1.28","3.2"
HAYN,"Haynes International","0.88","2.5"
HCI,"HCI Group","1.50","3.5"
HCP,HCP,"1.48","4.8"
HR,"Healthcare Realty Trust","1.20","3.7"
HTGC,"Hercules Capital","1.24","9.8"
HTBK,"Heritage Commerce","0.48","3.8"
HSY,"Hershey Co","2.89","2.5"
HESM,"Hess Midstream Partners LP","1.48","7.0"
HPE,"Hewlett Packard Enterprise Co","0.45","2.8"
HIW,"Highwoods Properties","1.90","4.1"
HNI,"HNI Corp","1.18","3.2"
HMLP,"Hoegh LNG Partners LP","1.76","9.0"
HEP,"Holly Energy Partners","2.67","9.9"
HFC,"HollyFrontier Corp","1.32","2.7"
HOMB,"Home Bancshares","0.48","2.6"
HD,"Home Depot","5.44","2.7"
HOPE,"Hope Bancorp","0.56","4.0"
HBNC,"Horizon Bancorp","0.40","2.5"
HPT,"Hospitality Properties Trust","2.12","8.0"
HPQ,"HP Inc","0.64","3.2"
HUBB,"Hubbel ","3.36","2.7"
